epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4160.61,1.20449,0.86308,1.30107,0.86242,0.73808,0.83093,0.52896,1.39715,0.8852,1.46911,0.004159,0.004159,0.004159
61,4228.59,1.20327,0.86769,1.30778,0.85321,0.75226,0.8313,0.52734,1.40422,0.87539,1.47615,0.00406,0.00406,0.00406
62,4296.65,1.18236,0.83654,1.29191,0.84032,0.76418,0.83063,0.52923,1.40138,0.87997,1.46992,0.003961,0.003961,0.003961
63,4364.7,1.18797,0.85111,1.2949,0.85524,0.7518,0.83125,0.52938,1.38998,0.87913,1.46676,0.003862,0.003862,0.003862
64,4432.76,1.17559,0.83119,1.28676,0.84798,0.75966,0.83369,0.53369,1.38398,0.87755,1.45784,0.003763,0.003763,0.003763
65,4500.29,1.16545,0.83018,1.28156,0.86341,0.75555,0.83564,0.53478,1.38074,0.86015,1.45613,0.003664,0.003664,0.003664
66,4568.63,1.16782,0.82356,1.27601,0.85573,0.76055,0.83664,0.53696,1.37439,0.85948,1.4485,0.003565,0.003565,0.003565
67,4636.6,1.15794,0.81192,1.27705,0.84546,0.76707,0.83776,0.54213,1.36154,0.85627,1.44201,0.003466,0.003466,0.003466
68,4704.31,1.15432,0.81152,1.27234,0.85216,0.77062,0.83951,0.54283,1.36567,0.85,1.44632,0.003367,0.003367,0.003367
69,4772.63,1.14434,0.79962,1.26582,0.86145,0.76579,0.84035,0.54588,1.35982,0.84526,1.43864,0.003268,0.003268,0.003268
70,4840.52,1.13534,0.791,1.25763,0.85897,0.76095,0.83887,0.54637,1.36334,0.84583,1.44268,0.003169,0.003169,0.003169
71,4908.35,1.13216,0.7838,1.25896,0.85854,0.76579,0.83738,0.5467,1.36046,0.84719,1.43811,0.00307,0.00307,0.00307
72,4976.17,1.13636,0.77943,1.25803,0.85474,0.77533,0.83939,0.55161,1.35822,0.83273,1.43251,0.002971,0.002971,0.002971
73,5043.35,1.11443,0.77253,1.24657,0.85857,0.77056,0.84039,0.55372,1.34754,0.83317,1.43083,0.002872,0.002872,0.002872
74,5111.13,1.11571,0.7674,1.25292,0.87987,0.75274,0.84224,0.55246,1.34973,0.83601,1.43814,0.002773,0.002773,0.002773
75,5179.11,1.11441,0.77244,1.24376,0.87501,0.76256,0.846,0.5563,1.34262,0.83317,1.42665,0.002674,0.002674,0.002674
