lat,lon,heading,filename,status,source
22.40002240679481,88.2781153838218,270,lat_22.40002240679481_lon_88.2781153838218_hdg_270_pano.jpg,OK,pano
22.40024224367771,88.28003852250983,0,lat_22.40024224367771_lon_88.28003852250983_hdg_0_pano.jpg,OK,pano
22.40024224367771,88.28003852250983,90,lat_22.40024224367771_lon_88.28003852250983_hdg_90_pano.jpg,OK,pano
22.40024224367771,88.28003852250983,180,lat_22.40024224367771_lon_88.28003852250983_hdg_180_pano.jpg,OK,pano
22.40024224367771,88.28003852250983,270,lat_22.40024224367771_lon_88.28003852250983_hdg_270_pano.jpg,OK,pano
22.39984778995481,88.28196951698064,0,lat_22.39984778995481_lon_88.28196951698064_hdg_0_pano.jpg,OK,pano
22.39984778995481,88.28196951698064,90,lat_22.39984778995481_lon_88.28196951698064_hdg_90_pano.jpg,OK,pano
22.39984778995481,88.28196951698064,180,lat_22.39984778995481_lon_88.28196951698064_hdg_180_pano.jpg,OK,pano
22.39984778995481,88.28196951698064,270,lat_22.39984778995481_lon_88.28196951698064_hdg_270_pano.jpg,OK,pano
22.4,88.284,0,,ZERO_RESULTS,metadata
22.4,88.284,90,,ZERO_RESULTS,metadata
22.4,88.284,180,,ZERO_RESULTS,metadata
22.4,88.284,270,,ZERO_RESULTS,metadata
22.4,88.286,0,,ZERO_RESULTS,metadata
22.4,88.286,90,,ZERO_RESULTS,metadata
22.4,88.286,180,,ZERO_RESULTS,metadata
22.4,88.286,270,,ZERO_RESULTS,metadata
22.4,88.288,0,,ZERO_RESULTS,metadata
22.4,88.288,90,,ZERO_RESULTS,metadata
22.4,88.288,180,,ZERO_RESULTS,metadata
22.4,88.288,270,,ZERO_RESULTS,metadata
22.4,88.29,0,,ZERO_RESULTS,metadata
22.4,88.29,90,,ZERO_RESULTS,metadata
22.4,88.29,180,,ZERO_RESULTS,metadata
22.4,88.29,270,,ZERO_RESULTS,metadata
22.4,88.292,0,,ZERO_RESULTS,metadata
22.4,88.292,90,,ZERO_RESULTS,metadata
22.4,88.292,180,,ZERO_RESULTS,metadata
22.4,88.292,270,,ZERO_RESULTS,metadata
22.4,88.294,0,,ZERO_RESULTS,metadata
22.4,88.294,90,,ZERO_RESULTS,metadata
22.4,88.294,180,,ZERO_RESULTS,metadata
22.4,88.294,270,,ZERO_RESULTS,metadata
22.4,88.296,0,,ZERO_RESULTS,metadata
22.4,88.296,90,,ZERO_RESULTS,metadata
22.4,88.296,180,,ZERO_RESULTS,metadata
22.4,88.296,270,,ZERO_RESULTS,metadata
22.4,88.298,0,,ZERO_RESULTS,metadata
22.4,88.298,90,,ZERO_RESULTS,metadata
22.4,88.298,180,,ZERO_RESULTS,metadata
22.4,88.298,270,,ZERO_RESULTS,metadata
22.39994394092608,88.29995565366042,0,lat_22.39994394092608_lon_88.29995565366042_hdg_0_pano.jpg,OK,pano
22.39994394092608,88.29995565366042,90,lat_22.39994394092608_lon_88.29995565366042_hdg_90_pano.jpg,OK,pano
22.39994394092608,88.29995565366042,180,lat_22.39994394092608_lon_88.29995565366042_hdg_180_pano.jpg,OK,pano
22.39994394092608,88.29995565366042,270,lat_22.39994394092608_lon_88.29995565366042_hdg_270_pano.jpg,OK,pano
22.4,88.302,0,,ZERO_RESULTS,metadata
22.4,88.302,90,,ZERO_RESULTS,metadata
22.4,88.302,180,,ZERO_RESULTS,metadata
22.4,88.302,270,,ZERO_RESULTS,metadata
22.4,88.304,0,,ZERO_RESULTS,metadata
22.4,88.304,90,,ZERO_RESULTS,metadata
22.4,88.304,180,,ZERO_RESULTS,metadata
22.4,88.304,270,,ZERO_RESULTS,metadata
22.4,88.306,0,,ZERO_RESULTS,metadata
22.4,88.306,90,,ZERO_RESULTS,metadata
22.4,88.306,180,,ZERO_RESULTS,metadata
